id,title,impl,dry,unit,integration,oracle,mock_fidelity,confidence,risk
[B1.6],mcp_server Direct-Call Replacement,mcp_server.py::call_tool,DRY,tests/unit/test_interactive_security_and_wrapping.py::test_mcp_server_ignores_untrusted_caller_action,tests/integration/l1_mcp/test_mcp_stdio.py::test_mcp_stdio_initialize_roundtrip,ABSENT,NO_UNIT_TEST,MEDIUM,"the criterion text is truncated, so full required replacement scope may be larger than validated here."
[B1.7],Universal Ambiguous Query Behavior,src/nodes/clarification_node.py::_check_level_2_physics_ambiguity,DRY,tests/unit/test_clarification_node.py::TestDecisionLevels.test_level_2_physics_ambiguity,tests/integration/test_clarification_recovery.py::TestConflictingConstraintsRouting.test_level_2_physics_ambiguity_flagged,ABSENT,DRIFTED,HIGH,ambiguity heuristics are keyword-based and may miss broader ambiguous intents.
[B2],Amendment B2 Section,src/nodes/sweep_detection_node.py::sweep_detection_node,DRY,tests/unit/test_sweep_orchestrator.py::test_sweep_spec_written_to_state,tests/integration/test_sweep_orchestration.py::test_sweep_orchestration_end_to_end,ABSENT,ALIGNED,HIGH,no full production-graph integration test invokes sweep orchestration through live workflow nodes.
[B2],gate_approvals Schema Precondition,src/models/graph_state_canonical.py::GraphState,DRY,tests/unit/test_gate_approvals_state.py::test_gate_approvals_list_accepts_serialized_record,ABSENT,tests/integration/test_oracle_benchmarks.py::test_squall_line_jsonl_fields_present,ALIGNED,HIGH,precondition is represented structurally but not enforced as an explicit startup gate.
[B2],Orchestration Session Completion Dependency,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,NONE,no validation-manifest completion gate for B2 orchestration session was located.
[B2.1],Architecture Overview,src/services/sweep_orchestrator.py::orchestrate_sweep,DRY,tests/unit/test_sweep_orchestrator.py::test_sweep_spec_validates_against_schema,tests/integration/test_sweep_orchestration.py::test_sweep_orchestration_end_to_end,ABSENT,ALIGNED,HIGH,"architectural coverage is strong in unit/integration, but no pipeline oracle test exists."
[B2.2],Sweep Specification,src/models/sweep_schemas.py::SweepSpec,DRY,tests/unit/test_sweep_orchestrator.py::test_sweep_spec_created_from_detection,tests/integration/test_sweep_orchestration.py::test_sweep_orchestration_end_to_end,ABSENT,ALIGNED,HIGH,"detection-to-spec path is deterministic and tested, but natural-language variety coverage is limited."
[B2.3],State Schemas,src/models/sweep_schemas.py::ChildWorkflowState,DRY,tests/unit/test_sweep_schemas.py::test_parent_sweep_state_validates_correctly,tests/integration/test_sweep_orchestration.py::test_sweep_orchestration_end_to_end,ABSENT,ALIGNED,HIGH,GraphState and sweep schema interoperability is not exercised by one integrated test surface.
[B2.4],Reviewer Boundary Decision,src/services/sweep_orchestrator.py::_run_reviewer_phase,DRY,tests/unit/test_sweep_orchestrator.py::test_sweep_spec_written_to_state,tests/integration/test_sweep_orchestration.py::test_sweep_orchestration_end_to_end,ABSENT,NO_UNIT_TEST,MEDIUM,there is no explicit unit assertion that reviewer runs only for physics sweeps and not other sweep types.
[B2.5],Execution Flow Fan-Out/Fan-In,src/services/sweep_orchestrator.py::_create_children,DRY,tests/unit/test_sweep_orchestrator.py::test_sweep_spec_written_to_state,tests/integration/test_sweep_orchestration.py::test_sweep_orchestration_end_to_end,ABSENT,ALIGNED,HIGH,polling timeout and partial-failure fan-in paths lack integration-level stress tests.
[B2.6],Invocation Mechanisms,src/services/sweep_orchestrator.py::orchestrate_sweep,DRY,tests/unit/test_interactive_service.py::test_invoke_tool_blocks_critical_without_approval,tests/integration/l1_mcp/test_mcp_stdio.py::test_mcp_stdio_list_tools_and_validate_inputs,ABSENT,ALIGNED,MEDIUM,no end-to-end test proves sweep orchestrator is invoked through MCP entry flow rather than only direct calls.
[B2.7],Failure Handling Policy,src/services/sweep_orchestrator.py::poll_child_status,DRY,tests/unit/test_sweep_orchestrator.py::test_sweep_spec_validates_against_schema,tests/integration/test_sweep_orchestration.py::test_sweep_orchestration_end_to_end,ABSENT,ALIGNED,MEDIUM,timeout/failure-reason branches are implemented but not directly asserted in available integration tests.
[B2.8],Sweep Output Structure,src/mcp_tools.py::mcp_get_sweep_status,DRY,tests/unit/test_mcp_tools.py::test_get_sweep_status_reads_from_filesystem,ABSENT,ABSENT,NO_UNIT_TEST,MEDIUM,output files are unit-tested with mocks/filesystem setup but not validated in a full orchestrated run.
[B2.9],Async MCP Reporting,mcp_server.py::list_tools,DRY,tests/unit/test_mcp_tools.py::test_get_sweep_results_returns_summary_when_complete,tests/integration/l1_mcp/test_mcp_stdio.py::test_mcp_stdio_initialize_roundtrip,ABSENT,ALIGNED,MEDIUM,"async handler existence is validated, but no long-running async sweep-report lifecycle test exists."
[B3],Benchmark V&V Instrumentation Section,src/benchmark_runner.py::_normalize_benchmark_record,DRY,tests/unit/test_benchmark_runner.py::test_gate_approvals_written_to_jsonl,tests/integration/test_oracle_benchmarks.py::test_squall_line_jsonl_fields_present,tests/integration/test_oracle_benchmarks.py::test_oracle_gate_benchmark_alignment_contract,ALIGNED,HIGH,"benchmark V&V coverage is strong, but depends on stable fixture assumptions for oracle prompts and catalogs."
[B3],gate_approvals GraphState Precondition,src/models/graph_state_canonical.py::GraphState,DRY,tests/unit/test_gate_approvals_state.py::test_two_gates_both_written_to_state,tests/integration/test_oracle_benchmarks.py::test_squall_line_jsonl_fields_present,tests/integration/test_oracle_benchmarks.py::test_oracle_gate_benchmark_alignment_contract,ALIGNED,HIGH,"precondition is implied by defaults and use-sites, but not asserted by a single startup invariant check."
[B3-01],Amendment B3 Benchmark V&V Instrumentation,src/benchmark_runner.py::_normalize_benchmark_record,DRY,tests/unit/test_benchmark_runner.py::test_jsonl_no_new_required_field_breaks_existing,tests/integration/test_oracle_benchmarks.py::test_benchmark_context_solver_metadata_persists_to_jsonl,tests/integration/test_oracle_benchmarks.py::test_oracle_gate_routing,ALIGNED,HIGH,"Instrumentation is concentrated in benchmark JSONL normalization, so future schema drift could silently reduce completeness."
[B3-02],gate_approvals Present at Session Start,src/models/graph_state_canonical.py::GraphState,DRY,tests/unit/test_gate_approvals_state.py::test_gate_approvals_independent_across_state_copies,tests/integration/test_contract_state_pollution.py::test_gate_approvals_list_not_shared_between_states,ABSENT,ALIGNED,HIGH,"GraphState is TypedDict-only, so runtime callers can still pass malformed gate approval entries."
[B3.1-01],Feature B JSONL Fields Overview,src/benchmark_runner.py::_normalize_benchmark_record,DRY,tests/unit/test_benchmark_runner.py::test_jsonl_contains_schema_valid_field,tests/integration/test_oracle_benchmarks.py::test_benchmark_context_solver_metadata_persists_to_jsonl,tests/integration/test_oracle_benchmarks.py::test_oracle_gate_routing,ALIGNED,HIGH,Required-field enforcement relies on defaulting behavior rather than strict schema validation.
[B3.1-02],Required Unit Test Entry,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,LOW,"The explicitly named unit test does not exist, so traceability to the criterion is missing."
[B3.1-03],benchmark_runner Required Output Fields,src/benchmark_runner.py::_derive_validation_fields,DRY,tests/unit/test_benchmark_runner.py::test_jsonl_no_new_required_field_breaks_existing,tests/integration/test_oracle_benchmarks.py::test_benchmark_context_solver_metadata_persists_to_jsonl,ABSENT,ALIGNED,MEDIUM,"Several fields default to placeholder values (`False`, `0`, `[]`), which may mask missing upstream data."
[B3.1-04],GraphState Field Confirmation for Output,src/models/graph_state_canonical.py::GraphState,DRY,tests/unit/test_benchmark_runner.py::test_jsonl_field_null_with_reason_when_unavailable,ABSENT,ABSENT,ALIGNED,MEDIUM,"Some normalized fields (`wall_time_seconds`, `architect_time_seconds`) are not canonical GraphState keys and are synthesized fallback metrics."
[B3.2-01],Missing Solver Family Case Coverage,benchmark/cases/pelec.yaml::<suite cases>,DUPLICATED,ABSENT,tests/integration/test_oracle_benchmarks.py::test_oracle_gate_benchmark_alignment_contract,tests/integration/test_oracle_benchmarks.py::test_oracle_gate_routing,NO_UNIT_TEST,MEDIUM,"Coverage exists for several solver families, but non-benchmark-backed overrides indicate incomplete canonical cataloging."
[B3.2-02],Oracle Expansion Methodology,tests/integration/test_oracle_benchmarks.py::_ORACLE_GATE_CASES_RAW,DRY,ABSENT,tests/integration/test_oracle_benchmarks.py::test_oracle_gate_distribution_is_balanced,tests/integration/test_oracle_benchmarks.py::test_oracle_gate_routing,NO_UNIT_TEST,HIGH,Methodology is test-embedded and may drift without an external design artifact.
[B4-01],Amendment B4 Deferred Design,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,NONE,No paper-validator design implementation is present in src/tests.
[B4.1-01],B4.1 Overview,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,NONE,No overview artifact tied to B4.1 exists in code or tests.
[B4.2-01],B4.2 Graph Topology Addition,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,NONE,No paper-validator node is added in graph wiring.
[B4.3-01],B4.3 Paper Parser Service,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,NONE,No parser service for paper validation is implemented.
[B4.4-01],B4.4 Validation Manifest Schema,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,NONE,No manifest schema for paper-validator outputs is present.
[B4.5-01],B4.5 Paper Validator Mode 1,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,NONE,Mode 1 validator node behavior is entirely absent.
[B4.6-01],B4.6 Paper Validator Mode 2,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,NONE,Mode 2 validator node behavior is entirely absent.
[B4.7-01],B4.7 New CLI Arguments,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,NONE,CLI parser has no paper-validator-specific arguments.
[B4.8-01],B4.8 Implementation Sequencing,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,NONE,No staged sequencing artifact for B4 implementation exists.
[UNNUMBERED-001-01],New File LOC <= 100,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,LOW,No repository policy/test enforces this LOC threshold for new files.
[UNNUMBERED-001-02],Orchestration Complexity <= 10,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,LOW,No automatic orchestration complexity gate exists in test suite or CI config.
[UNNUMBERED-001-03],Benchmark Record Builder Complexity,src/benchmark_runner.py::_normalize_benchmark_record,DRY,tests/unit/test_benchmark_runner.py::test_jsonl_no_new_required_field_breaks_existing,ABSENT,ABSENT,ALIGNED,LOW,"`radon` is unavailable in environment, so complexity threshold compliance is unverified."
[UNNUMBERED-001-04],Global Function Complexity Threshold,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,LOW,No complexity tooling/check is configured to enforce a global threshold.
[UNNUMBERED-002-01],radon cc No New Function > 10,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,LOW,`python -m radon cc` failed because `radon` is not installed.
[UNNUMBERED-002-02],New File >100 LOC Helper Extraction,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,LOW,No check enforces this threshold or requires helper extraction documentation.
[UNNUMBERED-002-03],Backward-Compatible Output Keys Regression Coverage,tests/unit/test_benchmark_runner.py::test_jsonl_no_new_required_field_breaks_exi,DRY,tests/unit/test_benchmark_runner.py::test_jsonl_no_new_required_field_breaks_existing,tests/integration/test_oracle_benchmarks.py::test_benchmark_context_solver_metadata_persists_to_jsonl,ABSENT,ALIGNED,MEDIUM,Coverage focuses on benchmark JSONL fields; broader workflow output key compatibility is not comprehensively validated.
[UNNUMBERED-002-04],Dedicated Unit Tests per Parser/Validator Mode,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,NONE,"No paper parser/validator mode implementation exists, so dedicated unit tests are also absent."
[UNNUMBERED-003-01],Amendment Module LOC and Helper Extraction,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,LOW,No amendment-specific structural guardrails are implemented.
[UNNUMBERED-003-02],Unit per Phase + Fan-out/Fan-in Integration,src/graph.py::create_graph,DRY,tests/unit/test_graph_wiring.py::test_sweep_detection_with_sweep_routes_to_handler,tests/integration/test_sweep_orchestration.py::test_detect_sweep_single_param,ABSENT,NO_UNIT_TEST,MEDIUM,"Fan-out detection is tested, but explicit fan-in merge/integration behavior is not evidenced."
[UNNUMBERED-001-05],Instrumentation Scope Creep Risk,src/benchmark_runner.py::_normalize_benchmark_record,DRY,tests/unit/test_benchmark_runner.py::test_jsonl_contains_schema_valid_field,tests/integration/test_oracle_benchmarks.py::test_benchmark_context_solver_metadata_persists_to_jsonl,ABSENT,ALIGNED,MEDIUM,"Instrumentation is minimally invasive, but full 100% coverage target is not measured or enforced."
[UNNUMBERED-002-05],Claim/Evidence Coverage Matrix,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,NONE,No claim-to-evidence matrix artifact is present in repo for this amendment block.
[UNNUMBERED-003-03],Required Capability v26.05,src/benchmark_runner.py::_normalize_benchmark_record,DRY,tests/unit/test_benchmark_runner.py::test_jsonl_no_new_required_field_breaks_existing,tests/integration/test_oracle_benchmarks.py::test_oracle_gate_distribution_is_balanced,tests/integration/test_oracle_benchmarks.py::test_oracle_gate_routing,ALIGNED,MEDIUM,"Core capability pieces exist, but B4 paper-validator capabilities remain unimplemented."
[UNNUMBERED-003],Complexity Budget: File Size,src/services/sweep_orchestrator.py::orchestrate_sweep,DUPLICATED,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,LOW,LOC/complexity budget is documented in PRD but not enforced by automated checks in this repo.
[UNNUMBERED-003],Sweep Phase Tests,src/services/sweep_orchestrator.py::orchestrate_sweep,DRY,tests/unit/test_orchestrator.py::TestSweepOrchestrator.test_fanout_spawns_correct_child_count,tests/integration/test_sweep_orchestration.py::test_sweep_orchestration_end_to_end,ABSENT,ALIGNED,MEDIUM,"unit+integration coverage exists, but no e2e/oracle sweep pipeline test is present."
[UNNUMBERED-004],New Path Test Coverage,src/nodes/sweep_detection_node.py::sweep_detection_node,DRY,tests/unit/test_sweep_orchestrator.py::test_sweep_spec_created_from_detection,tests/integration/test_sweep_orchestration.py::test_sweep_orchestration_end_to_end,tests/e2e/test_demo_smoke.py::test_demo_inline_prompt_pelec,ALIGNED,MEDIUM,"many new paths are covered, but per-path completeness is uneven across modules."
[UNNUMBERED-005],Stateless Deployment,src/models/graph_state_canonical.py::GRAPH_STATE_B1_B2_DEFAULTS,DRY,tests/unit/test_sweep_schemas.py::test_parent_sweep_state_validates_counts,tests/integration/test_infrastructure.py::test_workflow_store_roundtrip,ABSENT,ALIGNED,MEDIUM,"additive defaults indicate stateless rollout intent, but explicit migration-proof deployment test is limited."
[F1.1],Metrics Completeness,src/utils/metrics.py::MetricsCollector.record_event,DRY,tests/unit/test_metrics_collector.py::test_metrics_collector_aggregates_llm_tokens,tests/integration/test_oracle_benchmarks.py::test_squall_line_jsonl_fields_present,ABSENT,ALIGNED,MEDIUM,"core metrics are instrumented, but full F1.1-F1.5 completeness is not exhaustively validated end-to-end."
[F1.1],Persona Mapping (Jamie),src/utils/metrics.py::MetricsCollector.build_workflow_summary,DRY,tests/unit/test_benchmark_runner.py::test_gate_approvals_written_to_jsonl,tests/integration/test_oracle_benchmarks.py::test_squall_line_jsonl_fields_present,ABSENT,ALIGNED,MEDIUM,"aggregation exists, but per-user budget controls (F1.5 depth) are not comprehensively asserted."
[F1.2],Strategy Logging + Load/Modify/Write,src/services/knowledge.py::_record_retrieval_metrics,DRY,tests/unit/test_mcp_tools.py::test_mcp_create_simulation_plan_returns_writer_output,tests/integration/l5_full_pipeline/test_cli_interface.py::test_cli_runs_end_to_end,tests/e2e/test_demo_smoke.py::test_demo_inline_prompt_remora,ALIGNED,MEDIUM,"strategy metrics are recorded, but rationale-level assertions are sparse."
[F1.2],Strategy Rationale Tracking,src/services/knowledge.py::_record_retrieval_metrics,DRY,tests/unit/test_metrics_collector.py::test_metrics_collector_aggregates_llm_tokens,tests/integration/test_jicf_indexing_strategies.py::test_jicf_indexing_strategies,ABSENT,NO_UNIT_TEST,MEDIUM,"retrieval strategy events exist, but dedicated unit assertions for strategy rationale payload are limited."
[F1.2],Retrieval Ablation Metrics,src/benchmark_runner.py::run_model_benchmark,DRY,tests/unit/test_benchmark_runner.py::test_run_model_benchmark_writes_manifest_and_metrics,tests/integration/test_oracle_benchmarks.py::test_oracle_gate_benchmark_alignment_contract,ABSENT,ALIGNED,MEDIUM,"benchmark plumbing exists, but full ablation/reporting closure remains partial."
[F1.3],Grid/Blocking Validation,src/services/validators/physics_validator.py::PhysicsValidator.validate,DRY,tests/unit/test_physics_validator.py::test_ref_ratio_blocking_factor_validation,tests/integration/l5_full_pipeline/test_full_graph.py::test_full_graph_pipeline,tests/e2e/test_demo_smoke.py::test_demo_prompt_file_erf,ALIGNED,HIGH,strongest gap is limited oracle-style validation for specific AMR mismatch scenarios.
[F1.3],Resource Pre-flight + Gating,src/services/validation.py::ValidationService.validate_full_setup,DRY,tests/unit/test_validation_service.py::test_validate_full_setup,tests/integration/test_schema_validator_integration.py::test_schema_validator_pipeline,ABSENT,ALIGNED,MEDIUM,platform-specific resource estimation checks are present but not deeply exercised in integration tests.
[F1.4],PII Redaction in Logs,src/utils/privacy.py::sanitize_payload,DRY,tests/unit/test_benchmark_privacy.py::test_benchmark_jsonl_scrubs_prompt,tests/integration/test_privacy_scrubber_selection.py::test_privacy_scrubber_selection,ABSENT,ALIGNED,MEDIUM,"privacy scrubbing is implemented, but exhaustive coverage across all persisted payload shapes is not shown."
[F1.4],Convergence Metrics,src/benchmark_runner.py::_derive_benchmark_metrics_fields,DRY,tests/unit/test_benchmark_runner.py::test_jsonl_iteration_count_present,tests/integration/l5_full_pipeline/test_error_recovery.py::test_error_recovery_records_iterations,ABSENT,ALIGNED,MEDIUM,"iteration metrics exist, but explicit reflexion-convergence KPI tests are incomplete."
[F2.1],Solver Selection + Facility Exposure,src/services/architect.py::ArchitectService.select_solver,DRY,tests/unit/test_architect_solver_selection.py::test_select_solver_prefers_expected_solver,tests/integration/l1_mcp/test_mcp_stdio.py::test_mcp_stdio_list_tools_and_validate_inputs,tests/e2e/test_demo_smoke.py::test_demo_prompt_file_pelelmex_jicf_short,ALIGNED,HIGH,remaining risk is solver edge-cases outside covered fixtures.
[F2.1],Baseline Retrieval + Validation,src/services/cases.py::AMReXCasesService.find_local_cases,DRY,tests/unit/test_cases_service.py::test_find_local_cases,tests/integration/l5_full_pipeline/test_full_graph.py::test_full_graph_pipeline,tests/e2e/test_demo_smoke.py::test_demo_amrex_baseline_override,ALIGNED,HIGH,review-gate behavior for unusual baselines still depends on heuristic logic.
[F2.1],Mechanism/Case Retrieval,src/services/architect.py::ArchitectService.retrieve_context,DRY,tests/unit/test_architect_context_retrieval.py::test_retrieve_context,tests/integration/test_oracle_benchmarks.py::test_oracle_gate_routing,ABSENT,ALIGNED,MEDIUM,mechanism-specific retrieval correctness depends on repository content quality and indexing.
[F2.2],Deterministic Reproducibility,scripts/eval_level0_ab.py::DeterministicEmbedder._embed,DRY,tests/unit/test_benchmark_runner.py::test_jsonl_contains_schema_valid_field,tests/integration/test_oracle_benchmarks.py::test_squall_line_no_level0_regression,ABSENT,ALIGNED,MEDIUM,"deterministic helpers exist, but hardware-cross reproducibility is not fully proven in this test suite."
[F2.2],Multi-model Benchmark Runs,scripts/run_benchmark.py::main,DRY,tests/unit/test_benchmark_runner.py::test_run_model_benchmark_writes_manifest_and_metrics,tests/integration/test_oracle_benchmarks.py::test_oracle_gate_benchmark_alignment_contract,tests/e2e/test_demo_smoke.py::test_demo_inline_prompt_pelec,ALIGNED,MEDIUM,"benchmark runner is present, but full comparative camera-ready reporting path is still partial."
[F2.4],Automated Aggregation/Tables,scripts/aggregate_metrics.py::main,DRY,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,LOW,scripts exist but lack direct automated tests in the current repository.
[F2.5],Scaling Analysis Section Presence,benchmark/specs/case_schema.yaml::(scaling schema entries),DRY,tests/unit/test_benchmark_runner.py::test_run_model_benchmark_writes_manifest_and_metrics,tests/integration/test_oracle_benchmarks.py::test_squall_line_jsonl_fields_present,ABSENT,ALIGNED,MEDIUM,"section-aligned scaffolding exists, but dedicated scaling-law evaluation outputs are incomplete."
[F2.5],Reproducible and Traceable Scaling,src/benchmark_runner.py::run_model_benchmark,DRY,tests/unit/test_benchmark_runner.py::test_jsonl_no_new_required_field_breaks_existing,tests/integration/test_oracle_benchmarks.py::test_squall_line_jsonl_fields_present,ABSENT,ALIGNED,MEDIUM,"artifact capture is present, but reproducibility guarantees across reruns/hardware are not fully asserted."
[F2.5],Scaling Report Template,NOT FOUND,NOT_FOUND,ABSENT,ABSENT,ABSENT,NO_UNIT_TEST,HIGH,explicit scaling report template generation is not implemented in repository code.
[F3.1],Multi-tier Gating,src/nodes/reviewer_node.py::reviewer_node,DRY,tests/unit/test_reviewer_orchestrator.py::test_reviewer_routes_rejected_to_retry,tests/integration/l5_full_pipeline/test_error_recovery.py::test_error_recovery_pipeline,tests/integration/test_oracle_benchmarks.py::test_oracle_gate_distribution_is_balanced,ALIGNED,HIGH,main residual risk is policy behavior under uncommon mixed-error scenarios.
[F3.2],Typed Load-Modify-Write Path,src/mcp_tools.py::mcp_create_proposed_modifications_with_plan,DRY,tests/unit/test_mcp_tools.py::test_mcp_create_simulation_plan_returns_writer_output,tests/integration/l5_full_pipeline/test_full_graph.py::test_full_graph_pipeline,tests/e2e/test_demo_smoke.py::test_demo_inline_prompt_remora,ALIGNED,MEDIUM,typed-object guarantees are present but not enforced by a dedicated strict contract test for every path.
[F4.1],MCP Server Deployment,mcp_server.py::handle_tool_call,DRY,tests/unit/test_mcp_tools.py::test_mcp_list_tools_inprocess,tests/integration/l1_mcp/test_mcp_stdio.py::test_mcp_stdio_initialize_roundtrip,tests/e2e/test_demo_smoke.py::test_demo_prompt_file_pelelmex_jicf_short,ALIGNED,HIGH,scaling to true multi-user concurrency is not deeply stress-tested.
[F4.2],Validation Tool Exposure,src/mcp_tools.py::mcp_validate_inputs,DRY,tests/unit/test_mcp_tools.py::test_mcp_validate_config_returns_validation,tests/integration/test_schema_validator_integration.py::test_schema_validator_pipeline,tests/integration/l1_mcp/test_mcp_stdio.py::test_mcp_stdio_list_tools_and_validate_inputs,ALIGNED,HIGH,provider/runtime edge-cases may still bypass some validation branches.
[UNNUMBERED-003],v26.05 Required Capability,src/main.py::main,DUPLICATED,tests/unit/test_architect_solver_selection.py::test_select_solver_prefers_expected_solver,tests/integration/l5_full_pipeline/test_full_graph.py::test_full_graph_pipeline,tests/e2e/test_demo_smoke.py::test_demo_inline_prompt_pelec,ALIGNED,MEDIUM,broad capability statement spans multiple features and is only partially captured by current tests.
[UNNUMBERED-004],Provider Dependency Risk,src/config.py::get_llm_client,DRY,tests/unit/test_config.py::test_detects_mcp,tests/integration/test_oracle_benchmarks.py::test_oracle_extended_infrastructure_backlog,ABSENT,NO_UNIT_TEST,LOW,provider dependency is documented but risk mitigation coverage (fallback behavior across providers) is incomplete.
[UNNUMBERED-005],v26.05 Required Evidence,src/benchmark_runner.py::run_model_benchmark,DRY,tests/unit/test_benchmark_runner.py::test_jsonl_contains_schema_valid_field,tests/integration/test_oracle_benchmarks.py::test_squall_line_jsonl_fields_present,tests/e2e/test_demo_smoke.py::test_demo_inline_prompt_pelec,ALIGNED,MEDIUM,"core evidence artifacts are generated, but camera-ready evidence completeness remains partially manual."
[UNNUMBERED-001],Max LOC per new file,src/services/sweep_orchestrator.py::_create_children,DRY,tests/unit/test_rule_engine_orchestrator.py::TestRuleEngineValidate.test_validate_runs_all_solver_rules,tests/integration/test_sweep_orchestration.py::test_sweep_orchestration_end_to_end,tests/e2e/test_demo_smoke.py::test_demo_prompt_file_pelelmex_jicf_short,NO_UNIT_TEST,MEDIUM,No automated guard enforces a strict <=100 LOC threshold for every new file.
